"fighter1_odds","fighter2_odds"
"2.30","1.80"
"1.50","3.10"
"2.05","2.00"
"2.05","1.91"
"1.21","5.26"
"2.00","2.00"
"1.77","2.25"
"3.48","1.37"
"1.71","2.40"
"3.91","1.36"
"1.36","3.75"
"1.23","4.85"
"1.25","4.65"
"1.47","3.00"
"2.84","1.53"
"5.81","1.20"
"1.83","2.14"
"1.39","3.50"
"1.69","2.40"
"2.60","1.61"
"2.15","1.83"
"1.61","2.55"
"2.70","1.54"
"1.07","12.99"
"1.06","12.82"
"1.40","3.34"
"1.71","2.30"
"2.16","1.83"
"1.11","8.47"
"2.60","1.63"
"4.65","1.25"
"2.00","1.91"
"3.40","1.39"
"1.32","3.91"
"3.91","1.32"
"1.80","2.20"
"3.80","1.34"
"1.25","5.46"
"5.49","1.20"
"2.70","1.54"
"1.57","2.67"
"2.40","1.71"
"1.83","2.10"
"2.72","1.55"
"1.80","2.17"
"2.90","1.49"
"1.63","2.50"
"1.57","2.70"
"2.22","1.83"
"1.47","3.05"
"1.14","6.99"
"2.40","1.69"
"3.34","1.42"
"2.10","1.91"
"1.91","2.09"
"2.55","1.70"
"2.30","1.75"
"1.66","2.55"
"1.70","2.55"
"2.18","1.79"
"1.74","2.41"
"2.20","1.78"
"1.13","7.75"
"1.48","3.10"
"1.27","4.41"
"2.25","1.77"
"3.75","1.18"
"1.18","5.81"
"2.85","1.51"
"1.71","2.38"
"1.40","4.00"
"1.32","4.00"
"1.87","2.15"
"1.62","2.51"
"2.75","1.56"
"2.88","1.50"
"3.34","1.40"
"2.10","2.13"
"2.11","1.87"
"3.00","1.49"
"1.93","2.00"
"1.57","2.61"
"1.91","2.05"
"1.78","2.25"
"1.74","2.25"
"2.00","1.94"
"1.22","5.75"
"1.18","6.25"
"1.35","3.66"
"2.08","1.87"
"1.18","6.41"
"4.26","1.29"
"1.63","2.50"
"2.60","1.59"
"1.56","2.70"
"1.38","3.40"
"5.25","1.24"
"1.53","2.78"
