"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Ottman Azaitar",155,"lightweight",71,8.43,1.76,0.57,0.67,0,0,1,0
"Luiz Azeredo",154,"lightweight",72,2.16,2.76,0.39,0.57,1.07,0.5,0.45,0.3
"Luciano Azevedo",161,"welterweight",73,0.76,1.97,0.45,0.27,2.28,0.11,0,0
"Hunter Azure",145,"featherweight",69,4.17,1.99,0.52,0.62,2.52,0.45,0.76,1.4
"Niklas Backstrom",145,"featherweight",70,1.12,3.65,0.41,0.4,2.92,0.8,0.72,2.2
"Seth Baczynski",170,"welterweight",75,3.08,3.14,0.31,0.51,0.89,0.16,0.48,0.8
"Ryan Bader",205,"lightheavyweight",74,2.82,1.39,0.43,0.71,3.37,0.44,0.8,0.4
"Izabela Badurek",115,"strawweight",64,3.74,4.9,0.71,0.32,1.75,0.12,1,0
"Miguel Baeza",170,"welterweight",74,4.64,3.89,0.55,0.5,0.8,0.4,1,1.2
"Ali Bagautinov",125,"flyweight",65,2.85,3.09,0.42,0.52,2.51,0.36,0.65,0.3
"Mehdi Baghdad",155,"lightweight",72,3.13,4.56,0.3,0.46,0,0,0.33,0
"Melsik Baghdasaryan",145,"featherweight",70,6.8,3.8,0.64,0.53,0,0,0.75,0
"Siyar Bahadurzada",170,"welterweight",73,2.91,3.23,0.4,0.49,1.32,0.61,0.62,0.3
"Ignacio Bahamondes",170,"welterweight",75,8.78,2.66,0.54,0.67,0,0,1,0
"Shamar Bailey",155,"lightweight",75,1.56,3.91,0.2,0.69,1.5,0.33,0.37,0
"Jordan Bailey",145,"featherweight",70,1.74,0.29,0.4,0,4.35,1,0,4.3
"Scott Baker",210,"heavyweight",77,0,0,0,0,0,0,0,0
"Bryan Baker",185,"middleweight",75,1.78,2.83,0.52,0.45,0.44,0.5,0.37,0.9
"Oluwale Bamgbose",185,"middleweight",78,2.45,2.7,0.48,0.55,0.94,0.33,0.37,0
"Stephen Banaszak",145,"featherweight",70,4.2,1.15,0.47,0.66,0,0,1,1.9
