"Events","Fighter1"
"UFC 178 - Johnson vs. Cariaso","Kevin Lee"
"UFC 178 - Johnson vs. Cariaso","Manny Gamburyan"
"UFC Fight Night 53 - Nelson vs. Story","Betting Tools"
"UFC Fight Night 53 - Nelson vs. Story","Rick Story"
"UFC Fight Night 53 - Nelson vs. Story","Max Holloway"
"UFC Fight Night 53 - Nelson vs. Story","Jan Blachowicz"
"UFC Fight Night 53 - Nelson vs. Story","Mike Wilkinson"
"UFC Fight Night 53 - Nelson vs. Story","Magnus Cedenblad"
"UFC Fight Night 53 - Nelson vs. Story","Nico Musoke"
"UFC Fight Night 53 - Nelson vs. Story","Dennis Siver"
"UFC Fight Night 53 - Nelson vs. Story","Cathal Pendred"
"UFC Fight Night 53 - Nelson vs. Story","Krzysztof Jotko"
"UFC Fight Night 53 - Nelson vs. Story","Mairbek Taisumov"
"UFC Fight Night 53 - Nelson vs. Story","Zubaira Tukhugov"
"UFC Fight Night - Rockhold vs. Bisping","Betting Tools"
"UFC Fight Night - Rockhold vs. Bisping","Michael Bisping"
"UFC Fight Night - Rockhold vs. Bisping","Ross Pearson"
"UFC Fight Night - Rockhold vs. Bisping","Soa Palelei"
"UFC Fight Night - Rockhold vs. Bisping","Jake Matthews"
"UFC Fight Night - Rockhold vs. Bisping","Anthony Perosh"
"UFC Fight Night - Rockhold vs. Bisping","Dylan Andrews"
"UFC Fight Night - Rockhold vs. Bisping","Richie Vaculik"
"UFC Fight Night - Rockhold vs. Bisping","Vik Grujic"
"UFC Fight Night - Rockhold vs. Bisping","Daniel Kelly"
"UFC Fight Night - Rockhold vs. Bisping","Jumabieke Tuerxun"
"UFC Fight Night - Shogun vs. St. Preux","Betting Tools"
"UFC Fight Night - Shogun vs. St. Preux","Mauricio Rua"
"UFC Fight Night - Shogun vs. St. Preux","Warlley Alves"
"UFC Fight Night - Shogun vs. St. Preux","Claudio Silva"
"UFC Fight Night - Shogun vs. St. Preux","Dhiego Lima"
"UFC Fight Night - Shogun vs. St. Preux","Juliana Lima"
"UFC Fight Night - Shogun vs. St. Preux","Caio Magalhaes"
"UFC Fight Night - Shogun vs. St. Preux","Leandro Silva"
"UFC Fight Night - Shogun vs. St. Preux","Colby Covington"
"UFC 180 - Werdum vs. Hunt","Betting Tools"
"UFC 180 - Werdum vs. Hunt","Fabricio Werdum"
"UFC 180 - Werdum vs. Hunt","Jake Ellenberger"
"UFC 180 - Werdum vs. Hunt","Ricardo Lamas"
"UFC 180 - Werdum vs. Hunt","Augusto Montano"
"UFC 180 - Werdum vs. Hunt","Edgar Garcia"
"UFC 180 - Werdum vs. Hunt","Alejandro Perez"
"UFC 180 - Werdum vs. Hunt","Leslie Smith"
"UFC 180 - Werdum vs. Hunt","Marco Beltran"
"UFC Fight Night - Edgar vs. Swanson","Betting Tools"
"UFC Fight Night - Edgar vs. Swanson","Cub Swanson"
"UFC Fight Night - Edgar vs. Swanson","Bobby Green"
"UFC Fight Night - Edgar vs. Swanson","Brad Pickett"
"UFC Fight Night - Edgar vs. Swanson","Jared Rosholt"
"UFC Fight Night - Edgar vs. Swanson","Joseph Benavidez"
"UFC Fight Night - Edgar vs. Swanson","Isaac Vallie-Flagg"
"UFC Fight Night - Edgar vs. Swanson","Ruslan Magomedov"
"UFC Fight Night - Edgar vs. Swanson","Luke Barnatt"
"UFC Fight Night - Edgar vs. Swanson","James Vick"
"UFC Fight Night - Edgar vs. Swanson","Yves Edwards"
"UFC Fight Night - Edgar vs. Swanson","Kailin Curran"
"UFC Fight Night - Edgar vs. Swanson","Doo Ho Choi"
"UFC 181 - Hendricks vs. Lawler 2","Betting Tools"
"UFC 181 - Hendricks vs. Lawler 2","Robbie Lawler"
"UFC 181 - Hendricks vs. Lawler 2","Anthony Pettis"
"UFC 181 - Hendricks vs. Lawler 2","Travis Browne"
"UFC 181 - Hendricks vs. Lawler 2","Todd Duffee"
"UFC 181 - Hendricks vs. Lawler 2","Tony Ferguson"
"UFC 181 - Hendricks vs. Lawler 2","Urijah Faber"
"UFC 181 - Hendricks vs. Lawler 2","Eddie Gordon"
"UFC 181 - Hendricks vs. Lawler 2","Ashlee Evans-Smith"
"UFC 181 - Hendricks vs. Lawler 2","Sergio Pettis"
"UFC 181 - Hendricks vs. Lawler 2","Clay Collard"
"UFC - The Ultimate Fighter 20 Finale","Betting Tools"
"UFC - The Ultimate Fighter 20 Finale","Carla Esparza"
"UFC - The Ultimate Fighter 20 Finale","Jeremy Stephens"
